position,organoid_id,day,prob_full,prob_occluded,importance
2,BA2_96_2_G1_nosplit,8.0,0.3027,0.3021,0.0006
3,BA2_96_2_G1_nosplit,10.0,0.3027,0.2921,0.0106
4,BA2_96_2_G1_nosplit,13.0,0.3027,0.2727,0.03
5,BA2_96_2_G1_nosplit,15.0,0.3027,0.3065,0.0038
6,BA2_96_2_G1_nosplit,17.0,0.3027,0.2804,0.0223
7,BA2_96_2_G1_nosplit,20.5,0.3027,0.2301,0.0726
8,BA2_96_2_G1_nosplit,24.0,0.3027,0.2088,0.0939
9,BA2_96_2_G1_nosplit,28.0,0.3027,0.1831,0.1196
10,BA2_96_2_G1_nosplit,30.0,0.3027,0.1799,0.1228
0,BA2_96_2_G3_nosplit,3.0,0.6397,0.6166,0.0231
1,BA2_96_2_G3_nosplit,6.0,0.6397,0.6401,0.0004
2,BA2_96_2_G3_nosplit,8.0,0.6397,0.6363,0.0034
3,BA2_96_2_G3_nosplit,10.0,0.6397,0.6301,0.0097
4,BA2_96_2_G3_nosplit,13.0,0.6397,0.5762,0.0635
5,BA2_96_2_G3_nosplit,15.0,0.6397,0.6472,0.0074
6,BA2_96_2_G3_nosplit,17.0,0.6397,0.6274,0.0123
7,BA2_96_2_G3_nosplit,20.5,0.6397,0.4724,0.1674
8,BA2_96_2_G3_nosplit,24.0,0.6397,0.5218,0.1179
9,BA2_96_2_G3_nosplit,28.0,0.6397,0.4627,0.177
10,BA2_96_2_G3_nosplit,30.0,0.6397,0.4715,0.1682
0,BA2_96_2_G6_nosplit,3.0,0.3466,0.3218,0.0248
1,BA2_96_2_G6_nosplit,6.0,0.3466,0.3586,0.012
2,BA2_96_2_G6_nosplit,8.0,0.3466,0.3447,0.0019
3,BA2_96_2_G6_nosplit,10.0,0.3466,0.3403,0.0063
4,BA2_96_2_G6_nosplit,13.0,0.3466,0.3659,0.0193
5,BA2_96_2_G6_nosplit,15.0,0.3466,0.3311,0.0155
6,BA2_96_2_G6_nosplit,17.0,0.3466,0.2899,0.0567
7,BA2_96_2_G6_nosplit,20.5,0.3466,0.2489,0.0977
8,BA2_96_2_G6_nosplit,24.0,0.3466,0.2641,0.0825
9,BA2_96_2_G6_nosplit,28.0,0.3466,0.2638,0.0828
10,BA2_96_2_G6_nosplit,30.0,0.3466,0.2496,0.097
0,BA2_96_2_G9_nosplit,3.0,0.0304,0.0313,0.0009
1,BA2_96_2_G9_nosplit,6.0,0.0304,0.0344,0.0039
2,BA2_96_2_G9_nosplit,8.0,0.0304,0.0366,0.0062
3,BA2_96_2_G9_nosplit,10.0,0.0304,0.0366,0.0062
4,BA2_96_2_G9_nosplit,13.0,0.0304,0.0308,0.0004
5,BA2_96_2_G9_nosplit,15.0,0.0304,0.0341,0.0036
6,BA2_96_2_G9_nosplit,17.0,0.0304,0.0305,0.0
7,BA2_96_2_G9_nosplit,20.5,0.0304,0.0332,0.0028
8,BA2_96_2_G9_nosplit,24.0,0.0304,0.0362,0.0058
9,BA2_96_2_G9_nosplit,28.0,0.0304,0.0338,0.0034
10,BA2_96_2_G9_nosplit,30.0,0.0304,0.0328,0.0024
0,BA2_96_2_H3_nosplit,3.0,0.1332,0.1252,0.008
1,BA2_96_2_H3_nosplit,6.0,0.1332,0.1372,0.0039
2,BA2_96_2_H3_nosplit,8.0,0.1332,0.1223,0.0109
3,BA2_96_2_H3_nosplit,10.0,0.1332,0.1323,0.001
4,BA2_96_2_H3_nosplit,13.0,0.1332,0.1623,0.029
5,BA2_96_2_H3_nosplit,15.0,0.1332,0.1388,0.0056
6,BA2_96_2_H3_nosplit,17.0,0.1332,0.1483,0.0151
7,BA2_96_2_H3_nosplit,20.5,0.1332,0.101,0.0322
8,BA2_96_2_H3_nosplit,24.0,0.1332,0.1035,0.0297
9,BA2_96_2_H3_nosplit,28.0,0.1332,0.0942,0.0391
10,BA2_96_2_H3_nosplit,30.0,0.1332,0.0927,0.0405
0,BA2_96_2_H8_nosplit,3.0,0.4549,0.4258,0.029
1,BA2_96_2_H8_nosplit,6.0,0.4549,0.4547,0.0001
2,BA2_96_2_H8_nosplit,8.0,0.4549,0.468,0.0131
3,BA2_96_2_H8_nosplit,10.0,0.4549,0.4855,0.0307
4,BA2_96_2_H8_nosplit,13.0,0.4549,0.4193,0.0356
5,BA2_96_2_H8_nosplit,15.0,0.4549,0.4943,0.0394
6,BA2_96_2_H8_nosplit,17.0,0.4549,0.4062,0.0486
7,BA2_96_2_H8_nosplit,20.5,0.4549,0.3297,0.1252
8,BA2_96_2_H8_nosplit,24.0,0.4549,0.3513,0.1035
9,BA2_96_2_H8_nosplit,28.0,0.4549,0.3086,0.1463
10,BA2_96_2_H8_nosplit,30.0,0.4549,0.2986,0.1562
